,Date,Month,Year,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,DiffLP,FTR(S),FTR,Bookie,Target
39,11/09/2002,September,2002,Man United,Bolton,0,1,1.2,5.5,10,1.25,4.5,9,1.222,5,10,1.22,5,9.5,0,0,0,0,0,0,0,0,-13,NH,0,1,1
40,11/09/2002,September,2002,Newcastle,Leeds,0,2,2.1,3.25,3,1.9,3.1,3.5,2.2,3.2,2.8,2,3.2,3.2,0,0,0,0,0,0,0,0,-1,NH,0,1,1
41,11/09/2002,September,2002,Southampton,Everton,1,0,2,3.25,3.25,2,3.1,3.2,2,3.2,3.2,2,3.2,3.2,0,0,0,0,0,0,0,0,-4,H,1,1,0
42,11/09/2002,September,2002,West Ham,West Brom,0,1,1.571,3.4,5.5,1.6,3.4,4.6,1.615,3.5,4.5,1.61,3.3,5,0,0,0,0,0,0,0,0,-11,NH,0,1,1
43,14/09/2002,September,2002,Bolton,Liverpool,2,3,4.333,3.25,1.727,3.8,3.1,1.8,5,3.25,1.615,4.33,3.2,1.72,0,0,0,0,0,0,0,0,14,NH,0,0,0
44,14/09/2002,September,2002,Charlton,Arsenal,0,3,5,3.4,1.615,4.2,3.2,1.7,4.5,3.25,1.667,4.5,3.3,1.66,0,0,0,0,0,0,0,0,13,NH,0,0,0
45,14/09/2002,September,2002,Chelsea,Newcastle,3,0,1.909,3.25,3.5,1.8,3.1,3.8,2,3.2,3.2,2,3.2,3.2,0,0,0,0,0,0,0,0,2,H,1,1,0
46,14/09/2002,September,2002,Leeds,Man United,1,0,2.75,3,2.375,2.7,3,2.3,2.6,3.2,2.375,2.87,3,2.25,0,0,0,0,0,0,0,0,2,H,1,0,1
47,14/09/2002,September,2002,Sunderland,Fulham,0,3,2.1,3.25,3,2.2,3,2.9,2.25,3.2,2.75,2.2,3.2,2.8,0,0,0,0,0,0,0,0,4,NH,0,1,1
48,14/09/2002,September,2002,West Brom,Southampton,1,0,2.25,3.25,2.75,2.2,3,2.9,2.2,3.25,2.75,2.2,3.2,2.8,0,0,1,0,0,0,0,0,7,H,1,1,0
49,15/09/2002,September,2002,Man City,Blackburn,2,2,1.909,3.25,3.5,2.1,3,3.1,2,3.2,3.2,2,3.2,3.2,0,0,0,0,0,0,0,0,8,NH,0,1,1
50,15/09/2002,September,2002,Tottenham,West Ham,3,2,1.667,3.4,4.5,1.8,3.1,3.8,1.727,3.2,4.333,1.72,3.2,4.33,0,0,0,0,0,0,0,0,2,H,1,1,0
51,16/09/2002,September,2002,Birmingham,Aston Villa,3,0,2.5,3,2.625,2.5,3,2.5,2.375,3,2.75,2.5,3.1,2.5,0,0,0,0,0,0,0,0,10,H,1,1,0
52,21/09/2002,September,2002,Arsenal,Bolton,2,1,1.2,5.5,10,1.25,4.5,9,1.2,5,11,1.22,5,9.5,0,0,0,0,0,0,0,0,-15,H,1,1,0
53,21/09/2002,September,2002,Liverpool,West Brom,2,0,1.25,4.5,11,1.3,4.2,8,1.286,4.333,9,1.33,4,8,0,0,0,0,0,0,1,0,-16,H,1,1,0
54,21/09/2002,September,2002,Man United,Tottenham,1,0,1.444,3.75,6.5,1.4,3.9,6,1.5,3.4,6,1.44,3.6,6.5,0,0,0,0,1,0,0,0,-6,H,1,1,0
55,21/09/2002,September,2002,Newcastle,Sunderland,2,0,1.727,3.2,4.5,1.8,3.1,3.8,1.667,3.25,4.5,1.66,3.3,4.5,0,0,0,0,0,0,0,0,-13,H,1,1,0
56,21/09/2002,September,2002,Southampton,Charlton,0,0,2,3.25,3.25,2.1,3,3.1,1.909,3.25,3.4,2,3.2,3.2,0,0,0,0,0,0,0,0,-3,NH,0,1,1
57,21/09/2002,September,2002,West Ham,Man City,0,0,2.1,3.25,3,2,3.1,3.2,2,3.4,3,2.1,3.25,2.9,0,0,0,0,0,0,0,0,-11,NH,0,1,1
58,22/09/2002,September,2002,Aston Villa,Everton,3,2,1.833,3.25,3.75,1.85,3.1,3.6,1.8,3.2,4,1.9,3.1,3.6,0,0,0,0,0,0,0,0,-7,H,1,1,0
59,22/09/2002,September,2002,Blackburn,Leeds,1,0,2.75,3.25,2.25,2.9,3,2.2,2.6,3.2,2.375,2.6,3.1,2.4,0,0,0,0,0,0,0,0,5,H,1,0,1
60,23/09/2002,September,2002,Fulham,Chelsea,0,0,2.625,3,2.5,2.7,3,2.3,2.75,3.2,2.25,2.5,3.1,2.5,0,0,0,0,0,0,0,0,7,NH,0,0,0
61,28/09/2002,September,2002,Birmingham,Newcastle,0,2,2.625,3.2,2.375,2.7,3,2.3,2.5,3.25,2.4,2.75,3.2,2.25,0,0,0,0,0,0,0,0,14,NH,0,0,0
62,28/09/2002,September,2002,Bolton,Southampton,1,1,2,3.25,3.25,2,3.1,3.2,2.2,3.2,2.8,2,3.2,3.2,0,0,0,0,0,0,0,0,5,NH,0,1,1
63,28/09/2002,September,2002,Charlton,Man United,1,3,4.5,3.4,1.667,4.2,3.2,1.7,4.33,3.2,1.73,4.5,3.3,1.66,0,0,0,0,0,0,0,0,11,NH,0,0,0
64,28/09/2002,September,2002,Chelsea,West Ham,2,3,1.571,3.4,5.5,1.6,3.4,4.6,1.5,3.4,6,1.57,3.3,5.5,0,0,0,0,0,0,1,0,-1,NH,0,1,1
